artist	song	lyrics
Metallica	Master of Puppets	End of passion play, crumbling away I’m your source of self-destruction Veins that pump with fear, sucking darkest clear Leading on your death’s construction Taste me you will see More is all you need You’re dedicated to How I’m killing you Come crawling faster Obey your master Your life burns faster Obey your master Master Master of puppets I’m pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can’t see a thing Just call my name, ‘cause I’ll hear you scream Master Master Just call my name, ‘cause I’ll hear you scream Master Master Needlework the way, never you betray Life of death becoming clearer Pain monopoly, ritual misery Chop your breakfast on a mirror Taste me you will see More is all you need You’re dedicated to How I’m killing you Come crawling faster Obey your master Your life burns faster Obey your master Master Master of puppets I’m pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can’t see a thing Just call my name, ‘cause I’ll hear you scream Master Master Just call my name, ‘cause I’ll hear you scream Master Master Master, master Where’s the dreams that I’ve been after? Master, master You promised only lies Laughter, laughter All I hear or see is laughter Laughter, laughter Laughing at my cries Fix me Hell is worth all that, natural habitat Just a rhyme without a reason Never-ending maze, drift on numbered days Now your life is out of season I will occupy I will help you die I will run through you Now I rule you too Come crawling faster Obey your master Your life burns faster Obey your master Master Master of puppets I’m pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can’t see a thing Just call my name, ‘cause I’ll hear you scream Master Master Just call my name, ‘cause I’ll hear you scream Master Master 
Metallica	The Unforgiven	New blood joins this earth, And quickly he's subdued. Through constant pained disgrace The young boy learns their rules. With time the child draws in. This whipping boy done wrong. Deprived of all his thoughts The young man struggles on and on he's known A vow unto his own, That never from this day His will they'll take away. What I've felt, What I've known Never shined through in what I've shown. Never be. Never see. Won't see what might have been. What I've felt, What I've known Never shined through in what I've shown. Never free. Never me. So I dub thee unforgiven. They dedicate their lives To running all of his. He tries to please them all – This bitter man he is. Throughout his life the same – He's battled constantly. This fight he cannot win – A tired man they see no longer cares. The old man then prepares To die regretfully – That old man here is me. What I've felt, What I've known Never shined through in what I've shown. Never be. Never see. Won't see what might have been. What I've felt, What I've known Never shined through in what I've shown. Never free. Never me. So I dub thee unforgiven. [Solo] What I've felt, What I've known Never shined through in what I've shown. Never be. Never see. Won't see what might have been. What I've felt, What I've known Never shined through in what I've shown. Never free. Never me. So I dub thee unforgiven. Never free. Never me. So I dub thee unforgiven. You labelled me, I'll label you. So I dub thee unforgiven. Never free. Never me. So I dub thee unforgiven. You labelled me, I'll label you. So I dub thee unforgiven. Never free. Never me. So I dub thee unforgiven. 
Metallica	Fade to Black	Life, it seems, will fade away Drifting further every day Getting lost within myself Nothing matters, no one else I have lost the will to live Simply nothing more to give There is nothing more for me Need the end to set me free Things not what they used to be Missing one inside of me Deathly lost, this can't be real Cannot stand this hell I feel Emptiness is filling me To the point of agony Growing darkness taking dawn I was me, but now he's gone No one but me can save myself, but it's too late Now I can't think, think why I should even try Yesterday seems as though it never existed Death greets me warm, now I will just say goodbye 
Metallica	One	I can’t remember anything Can’t tell if this is true or dream Deep down inside I feel to scream This terrible silence stops me Now that the war is through with me I’m waking up, I cannot see That there’s not much left of me Nothing is real but pain now Hold my breath as I wish for death Oh please, God, wake me Back in the womb it’s much too real In pumps life that I must feel But can’t look forward to reveal Look to the time when I’ll live Fed through the tube that sticks in me Just like a wartime novelty Tied to machines that make me be Cut this life off from me Hold my breath as I wish for death Oh please, God, wake me Now the world is gone, I’m just one Oh God, help me Hold my breath as I wish for death Oh please, God, help me Darkness Imprisoning me All that I see Absolute horror I cannot live I cannot die Trapped in myself Body my holding cell Landmine Has taken my sight Taken my speech Taken my hearing Taken my arms Taken my legs Taken my soul Left me with life in hell 
Metallica	For Whom the Bell Tolls	Make his fight on the hill in the early day Constant chill deep inside Shouting gun, on they run through the endless grey On they fight, for they're right, yes, but who's to say? For a hill, men would kill, why? They do not know Stiffened wounds test their pride Men of five, still alive through the raging glow Gone insane from the pain that they surely know For whom the bell tolls Time marches on For whom the bell tolls Take a look to the sky just before you die It's the last time he will Blackened roar, massive roar, fills the crumbling sky Shattered goal fills his soul with a ruthless cry Stranger now, are his eyes, to this mystery He hears the silence so loud Crack of dawn, all is gone except the will to be Now they see what will be, blinded eyes to see For whom the bell tolls Time marches on For whom the bell tolls 
Eminem	The Real Slim Shady	May I have your attention please? May I have your attention please? Will the real Slim Shady please stand up? I repeat will the real Slim Shady please stand up? We're going to have a problem here Y'all act like you never seen a white person before Jaws all on the floor like Pam and Tommy just burst in the door Started whoopin' her ass worse than before, they first get divorced Throwing her over furniture It's the return of the "Oh wait, no way, your kidding, He didn't just say what I think he did, did he?" And Dr Dre said Nothing you idiots Dr Dre's dead, he's locked in my basement (ha ha) Feminist women love Eminem, chicka chicka chicka Slim Shady I'm sick of him Look at him, walking around grabbing his you know what Flippin' the you know who "yeah, but he's so cute though" Yea I probably got a couple of screws up in my head loose But no worse than what's going on in your parent's bedrooms Sometimes I want to get on TV and just let loose, but can't, But it's cool for Tom Green to hump a dead moose My bum is on your lips, my bum is on your lips And if I'm lucky you might just give it a little kiss And that's the message that we deliver to little kids And expect them not to know what a women's clitoris is. Of course they gonna know what intercourse is, by the time they hit 4th grade, They got the discovery channel don't they? We ain't nothing but mammals, Well some of us cannibals, who cut other people open like cantaloupes. But if we can hump dead animals and antelopes Then there's no reason that a man and another man can't elope But if you feel like I feel I got the antidote. Women wave your pantyhose, sing the chorus and it goes I'm Slim Shady, yes I'm the real Shady All you other Slim Shadys are just imitating So won't the real Slim Shady, please stand up, Please stand up, Please stand up 'Cause I'm Slim Shady, yes I'm the real Shady All you other Slim Shadys are just imitating So won't the real Slim Shady, please stand up, Please stand up, Please stand up Will Smith don't gotta cuss in his raps to sell records Well I do, so fuck him and fuck you too. You think I give a damn about a Grammy? Half of you critics can't even stomach me, let alone stand me. "But Slim what if you win wouldn't it be weird?" Why? So you guys can just lie to get me here? So you can sit me here next to Britney Spears. Shit, Christina Aguilera better switch me chairs So I can sit next to Carson Daly and Fred Durst And hear 'em argue over who she gave head to first. Little bitch put me on blast on M-T-V "Yeah he's cute but I think he's married to Kim, he he" I should download her audio on mp3 And show the whole world how you gave Eminem V.D. I'm sick of you little girl and boy groups all you do is annoy me So I've been sent here to destroy you And there's a million of us just like me Who cuss like me, who just don't give a fuck like me, who dress like me Walk, talk and act like me, it just might be the next best thing, But not quite me 'Cause I'm Slim Shady, yes I'm the real Shady All you other Slim Shadys are just imitating So won't the real Slim Shady, please stand up, Please stand up, Please stand up 'Cause I'm Slim Shady, yes I'm the real Shady All you other Slim Shadys are just imitating So won't the real Slim Shady, please stand up, Please stand up, Please stand up I'm like a head trip to listen to 'Cause I'm only giving you, things you joke about with your friends Inside your living room The only difference is I got the balls to say it in front of y'all And I don't gotta be false or sugar coat it at all I just get on the mic and spit it, and whether you like to admit it (rip) I just shit it better than 90 percent of you rappers out there Then you wonder how can kids eat up these albums like Valiums, it's funny 'Cause at the rate I'm going when I'm thirty I'll be the only person in the nursing home flirting. Pinching nurses asses when I'm jackin' off with Jergens And I'm jerking, but this whole bag of Viagra isn't working And every single person is a Slim Shady lurkin' he could be workin' at Burger King Spitten on your onion rings Or in the parking lot circling, Screaming I don't give a fuck with his windows down and system up So will the real Shady, please stand up And put one of those fingers on each hand up And to be proud to be outta your mind and outta control And one more time, loud as you can, how does it go? I'm Slim Shady, yes I'm the real Shady All you other Slim Shadys are just imitating So won't the real Slim Shady, please stand up, Please stand up, Please stand up 'Cause I'm Slim Shady, yes I'm the real Shady All you other Slim Shadys are just imitating So won't the real Slim Shady, please stand up, Please stand up, Please stand up 'Cause I'm Slim Shady, yes I'm the real Shady All you other Slim Shadys are just imitating So won't the real Slim Shady, please stand up, Please stand up, Please stand up 'Cause I'm Slim Shady, yes I'm the real Shady All you other Slim Shadys are just imitating So won't the real Slim Shady, please stand up, Please stand up, Please stand up Haha, I guess there's a Slim Shady in all of us, Fuck it, Let's all stand up 
Eminem	Till I Collapse	'Cause sometimes you just feel tired, Feel weak, and when you feel weak, you feel like you wanna just give up. But you gotta search within you, you gotta find that inner strength And just pull that shit out of you and get that motivation to not give up And not be a quitter, no matter how bad you wanna just fall flat on your face and collapse. Yo left, yo left, yo left right left Yo left, yo left, yo left right left Yo left, yo left, yo left right left Yo left, yo left, yo left right left Till I collapse I’m spilling these raps long as you feel 'em Till the day that I drop you'll never say that I'm not killing them 'Cause when I am not then I'ma stop pinning 'em And I am not hip-hop and I’m just not Eminem. Subliminal thoughts when I'm stop sending them women are caught in webs spin and hock venom Adrenaline shots of penicillin could not get the illing to stop. Amoxacillin is just not real enough. The criminal cop killing hip-hop filling a minimal swap to cop millions of Pac listeners. You're coming with me, feel it or not you’re gonna fear it like I showed you the spirit of god lives in us. You hear it a lot, lyrics that shock is it a miracle or am I just a product of pop fizzing up. For shizzel my wizzel this is the plot listen up you bizzels forgot slizzel does not give a fuck. Till the roof comes off, till the lights go out Till my legs give out, can’t shut my mouth. Till the smoke clears out. Am I high? Perhaps I'ma rip this shit till my bones collapse. Till the roof comes off, till the lights go out Till my legs give out, can’t shut my mouth. Till the smoke clears out. Am I high? Perhaps I'ma rip this shit till my bones collapse. Music is like magic there’s a certain feeling you get when you're real And you spit and people are feeling your shit. This is your moment and every single minute you spend trying to hold onto it 'cause you may never get it again. So while you’re in it try to get as much shit as you can And when your run is over just admit when it's at its end. 'Cause I'm at the end of my wits with half this shit that gets in. I got a list here's the order of my list that it's in. It goes Reggie, Jay-Z, Tupac and Biggie, Andre from OutKast, Jada, Kurupt, Nas and then me. But in this industry I'm the cause of a lot of envy, so when I’m not put on this list the shit does not offend me. That's why you see me walk around like nothing's bothering me. Even though half you people got a fucking problem with me. You hate it but you know respect you’ve got to give me The press's wet dream like Bobby and Whitney. Nate hit me. Soon as a verse starts I eat it at MC’s heart What is he thinking? How not to go against me? Smart. And it's absurd how people hang on every word. I’ll probably never get the props I feel I ever deserve But I’ll never be served my spot is forever reserved If I ever leave earth that would be the death of me first. 'Cause in my heart of hearts I know nothing could ever be worse. That’s why I’m clever when I put together every verse My thoughts are sporadic, I act like I’m an addict I rap like I’m addicted to smack like I’m Kim Mathers. But I don’t want to go forth and back in constant battles The fact is I would rather sit back and bomb some rappers. So this is like a full blown attack I’m launching at them The track is on some battling raps who want some static 'Cause I don’t really think that the fact that I’m Slim matters A plaque of platinum status is whack if I'm not the baddest. So... Until the roof The roof comes off Until my legs Give out from underneath me I will not fall, I will stand tall, Feels like no one can beat me. 
Eminem	Lose Yourself	Look, if you had, one shot, or one opportunity To seize everything you ever wanted. In one moment Would you capture it, or just let it slip? Yo His palms are sweaty, knees weak, arms are heavy There's vomit on his sweater already, mom's spaghetti He's nervous, but on the surface he looks calm and ready to drop bombs, But he keeps on forgetting what he wrote down, The whole crowd goes so loud He opens his mouth, but the words won't come out He's choking how, everybody's joking now The clock's run out, time's up, over, blaow! Snap back to reality. Oh, there goes gravity Oh, there goes Rabbit, he choked He's so mad, but he won't give up that Easy, no He won't have it, he knows his whole back's to these ropes It don't matter, he's dope He knows that but he's broke He's so sad that he knows When he goes back to his mobile home, that's when it's Back to the lab again, yo This whole rhapsody He better go capture this moment and hope it don't pass him [Hook:] You better lose yourself in the music, the moment You own it, you better never let it go (go) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime (yo) You better lose yourself in the music, the moment You own it, you better never let it go (go) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime (yo) (You better) The soul's escaping, through this hole that is gaping This world is mine for the taking Make me king, as we move toward a new world order A normal life is boring, but superstardom's close to postmortem It only grows harder, homie grows hotter He blows. It's all over. These hoes is all on him Coast to coast shows, he's known as the globetrotter Lonely roads, God only knows He's grown farther from home, he's no father He goes home and barely knows his own daughter But hold your nose 'cause here goes the cold water His hoes don't want him no more, he's cold product They moved on to the next schmoe who flows He nose dove and sold nada So the soap opera is told and unfolds I suppose it's old partner, but the beat goes on Da da dum da dum da da da da [Hook] No more games, I'mma change what you call rage Tear this motherfucking roof off like two dogs caged I was playing in the beginning, the mood all changed I've been chewed up and spit out and booed off stage But I kept rhyming and stepped right into the next cypher Best believe somebody's paying the Pied Piper All the pain inside amplified by the Fact that I can't get by with my 9 to 5 And I can't provide the right type of life for my family 'Cause man, these goddamn food stamps don't buy diapers And it's no movie, there's no Mekhi Phifer, this is my life And these times are so hard, and it's getting even harder Trying to feed and water my seed, plus Teeter totter caught up between being a father and a primadonna Baby, mama drama's screaming on her Too much for me to wanna Stay in one spot, another day of monotony's gotten me To the point, I'm like a snail I've got to formulate a plot or I end up in jail or shot Success is my only motherfucking option, failure's not Mom, I love you, but this trailer's got to go I cannot grow old in Salem's lot So here I go it's my shot. Feet, fail me not This may be the only opportunity that I got [Hook] You can do anything you set your mind to, man 
Eminem	Stan	My tea's gone cold I'm wondering why I got out of bed at all The morning rain clouds up my window and I can't see at all And even if I could it'll all be gray, but your picture on my wall It reminds me, that it's not so bad, it's not so bad [2x] [Eminem as Stan:] Dear Slim, I wrote you but you still ain't calling I left my cell, my pager, and my home phone at the bottom I sent two letters back in autumn, you must not-a got 'em There probably was a problem at the post office or something Sometimes I scribble addresses too sloppy when I jot 'em But anyways; fuck it, what's been up? Man, how's your daughter? My girlfriend's pregnant, too, I'm bout to be a father If I have a daughter, guess what I'mma call her? I'mma name her Bonnie I read about your Uncle Ronnie, too, I'm sorry I had a friend kill himself over some bitch who didn't want him I know you probably hear this everyday, but I'm your biggest fan I even got the underground shit that you did with Skam I got a room full of your posters and your pictures, man I like the shit you did with Rawkus, too, that shit was phat Anyways, I hope you get this, man, hit me back, Just to chat, truly yours, your biggest fan This is Stan [Dido:] My tea's gone cold I'm wondering why I got out of bed at all The morning rain clouds up my window and I can't see at all And even if I could it'll all be gray, but your picture on my wall It reminds me, that it's not so bad, it's not so bad [Eminem as Stan:] Dear Slim, you still ain't called or wrote, I hope you have a chance I ain't mad - I just think it's FUCKED UP you don't answer fans If you didn't wanna talk to me outside your concert You didn't have to, but you coulda signed an autograph for Matthew That's my little brother man, he's only six years old We waited in the blistering cold for you, For four hours and you just said, "No." That's pretty shitty man - you're like his fucking idol He wants to be just like you man, he likes you more than I do I ain't that mad though, I just don't like being lied to Remember when we met in Denver - you said if I'd write you You would write back - see I'm just like you in a way I never knew my father neither; He used to always cheat on my mom and beat her I can relate to what you're saying in your songs So when I have a shitty day, I drift away and put 'em on 'Cause I don't really got shit else so that shit helps when I'm depressed I even got a tattoo with your name across the chest Sometimes I even cut myself to see how much it bleeds It's like adrenaline, the pain is such a sudden rush for me See everything you say is real, and I respect you 'cause you tell it My girlfriend's jealous 'cause I talk about you 24/7 But she don't know you like I know you Slim, no one does She don't know what it was like for people like us growing up You gotta call me man, I'll be the biggest fan you'll ever lose Sincerely yours, Stan P.S. We should be together, too [Dido:] My tea's gone cold I'm wondering why I got out of bed at all The morning rain clouds up my window and I can't see at all And even if I could it'll all be gray, but your picture on my wall It reminds me, that it's not so bad, it's not so bad [Eminem as Stan:] Dear Mister I'm-Too-Good-To-Call-Or-Write-My-Fans, This'll be the last package I ever send your ass It's been six months and still no word. I don't deserve it? I know you got my last two letters; I wrote the addresses on 'em perfect So this is my cassette I'm sending you, I hope you hear it I'm in the car right now, I'm doing 90 on the freeway Hey Slim, I drank a fifth of vodka, you dare me to drive? You know the song by Phil Collins "In the Air Tonight" About that guy who coulda saved that other guy from drowning But didn't, then Phil saw it all, then at a show he found him? That's kinda how this is, you coulda rescued me from drowning Now it's too late. I'm on a 1000 downers now, I'm drowsy And all I wanted was a lousy letter or a call I hope you know I ripped all of your pictures off the wall I love you, Slim, we coulda been together, think about it You ruined it now, I hope you can't sleep and you dream about it And when you dream I hope you can't sleep and you scream about it I hope your conscience eats at you and you can't breathe without me See, Slim,—shut up bitch! I'm trying to talk! Hey, Slim, that's my girlfriend screaming in the trunk, But I didn't slit her throat, I just tied her up. See, I ain't like you 'Cause if she suffocates she'll suffer more, and then she'll die, too Well, gotta go, I'm almost at the bridge now Oh shit, I forgot, how'm I supposed to send this shit out? [*car tires squeal, crash, loud splash*] [Dido:] My tea's gone cold I'm wondering why I got out of bed at all The morning rain clouds up my window and I can't see at all And even if I could it'll all be gray, but your picture on my wall It reminds me, that it's not so bad, it's not so bad [Eminem:] Dear Stan, I meant to write you sooner but I've just been busy You said your girlfriend's pregnant now, how far along is she? Look, I'm really flattered you would call your daughter that And here's an autograph for your brother, I wrote it on the Starter cap I'm sorry I didn't see you at the show, I musta missed you Don't think I did that shit intentionally just to diss you But what's this shit you said about you like to cut your wrists, too? I say that shit just clowning dogg, C'mon! How fucked up is you? You got some issues, Stan, I think you need some counseling To help your ass from bouncing off the walls when you get down some And what's this shit about us meant to be together? That type of shit'll make me not want us to meet each other I really think you and your girlfriend need each other Or maybe you just need to treat her better I hope you get to read this letter, I just hope it reaches you in time Before you hurt yourself, I think that you'll be doing just fine If you relax a little, I'm glad I inspire you but, Stan Why are you so mad? Try to understand, that I do want you as a fan I just don't want you to do some crazy shit I seen this one shit on the news a couple weeks ago that made me sick Some dude was drunk and drove his car over a bridge And had his girlfriend in the trunk, and she was pregnant with his kid And in the car they found a tape, but they didn't say who it was to Come to think about it, his name was... it was you Damn! 
Eminem	My Name Is	Hi! My name is... (what?) My name is... (who?) My name is... [scratches] Slim Shady Hi! My name is... (huh?) My name is... (what?) My name is... [scratches] Slim Shady Ahem... excuse me! Can I have the attention of the class for one second? [Eminem:] Hi kids! Do you like violence? (Yeah yeah yeah!) Wanna see me stick Nine Inch Nails through each one of my eyelids? (Uh-huh!) Wanna copy me and do exactly like I did? (Yeah yeah!) Try 'cid and get fucked up worse that my life is? (Huh?) My brain's dead weight, I'm trying to get my head straight But I can't figure out which Spice Girl I want to impregnate (Ummmm...) And Dr. Dre said, "Slim Shady you a basehead!" Uh-uhhh! "So why's your face red? Man you wasted!" Well since age twelve, I've felt like I'm someone else Cause I hung my original self from the top bunk with a belt Got pissed off and ripped Pamela Lee's tits off And smacked her so hard I knocked her clothes backwards like Kris Kross I smoke a fat pound of grass and fall on my ass Faster than a fat bitch who sat down too fast C'mere slut! (Shady, wait a minute, that's my girl dog!) I don't give a fuck, God sent me to piss the world off! [Chorus] [Eminem:] My English teacher wanted to flunk me in Junior High Thanks a lot, next semester I'll be thirty-five I smacked him in his face with an eraser, chased him with a stapler And stapled his nuts to a stack of papers (Owwwwwwww!) Walked in the strip club, had my jacket zipped up Flashed the bartender, then stuck my dick in her tip cup Extraterrestrial runnin' over pedestrians In a space ship while they screaming at me: "LET'S JUST BE FRIENDS!" Ninety-nine percent of my life I was lied to I just found out my mom does more dope than I do (Damn!) I told her I'd grow up to be a famous rapper Make a record about doing drugs and name it after her (Oh thank you!) You know you blew up when the women rush your stands And try to touch your hands like some screaming Usher fans (Aaahhhhhh!) This guy at White Castle asked for my autograph (Dude, can I get your autograph?) So I signed it: 'Dear Dave, thanks for the support, ASSHOLE!' [Chorus] [Eminem:] Stop the tape! This kid needs to be locked away! (Get him!) Dr. Dre, don't just stand there, OPERATE! I'm not ready to leave, it's too scary to die (Fuck that!) I'll have to be carried inside the cemetery and buried alive (Huh yup!) Am I coming or going? I can barely decide I just drank a fifth of vodka - dare me to drive? (Go ahead) All my life I was very deprived I ain't had a woman in years, and my palms are too hairy to hide (Whoops!) Clothes ripped like the Incredible Hulk (hachhh-too) I spit when I talk, I'll fuck anything that walks (C'mere) When I was little I used to get so hungry I would throw fits How you gonna breast feed me mom? (Wah!) You ain't got no tits! (Wahhh!) I lay awake and strap myself in the bed With a bulletproof vest on and shoot myself in the head (BANG!) I'm steaming mad (Arrrggghhh!) And by the way when you see my dad? (Yeah?) Tell him that I slit his throat, in this dream I had 
